round,winner,results,year,gender,player1,player2,country1,country2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2,FirstandSecondPointWon1,FirstandSecondPointWon2,,,,,,,,
Final,Rafael Nadal,7-5 3-6 7-6(3) 3-6 6-2,2009,m,Rafael Nadal,Roger Federer,ESP,SUI,64,52,4,11,4,6,66,73,48,45,196,204,179,183,143,156,44,32,40,41,173,174,50,71,41,64,58,72,31.68,32.85,,,,,,,,
semi,Rafael Nadal,6-7(4) 6-4 7-6(2) 6-7(1) 6-4,2009,m,Rafael Nadal,Fernando Verdasco,ESP,ESP,74,69,12,20,3,4,72,71,62,55,200,220,182,188,143,158,20,50,34,31,193,192,52,95,25,76,70,65,44.64,39.05,,,,,,,,
semi,Roger Federer,6-2 7-5 7-5,2009,m,Roger Federer,Andy Roddick,SUI,USA,66,65,16,8,0,2,83,70,58,52,208,224,188,206,156,172,31,0,36,26,105,85,51,38,15,18,63,50,48.14,36.4,,,,,,,,
quarter,Rafael Nadal,6-2 7-5 7-5,2009,m,Rafael Nadal,Gilles Simon,ESP,FRA,67,55,5,4,2,4,73,71,58,38,203,203,183,182,140,135,58,43,44,32,105,83,29,42,24,41,87,66,42.34,26.98,,,,,,,,
quarter,Fernando Verdasco,7-6(2) 3-6 6-3 6-2,2009,m,Fernando Verdasco,Jo-Wilfried Tsonga,ESP,FRA,78,65,7,9,3,3,69,72,59,49,216,216,174,185,154,150,100,15,36,33,129,114,36,46,29,40,70,61,40.71,35.28,,,,,,,,
quarter,Andy Roddick,6-7(3) 6-4 6-2 2-1 ret.,2009,m,Andy Roddick,Novak Djokovic,USA,SRB,71,62,16,8,5,5,87,63,44,48,224,203,203,185,171,164,42,100,43,25,114,88,43,43,14,39,54,50,38.28,30.24,,,,,,,,
Fourth,Rafael Nadal,6-3 6-2 6-4,2009,m,Rafael Nadal,Fernando Gonzalez,ESP,CHI,67,69,4,6,0,2,78,59,63,36,196,206,180,177,143,148,46,29,48,27,96,66,33,22,11,35,71,44,49.14,21.24,,,,,,,,
Fourth,Jo-Wilfried Tsonga,6-4 6-4 7-6(3),2009,m,Jo-Wilfried Tsonga,James Blake,FRA,USA,64,53,12,4,3,5,84,67,46,59,220,206,195,185,150,153,50,25,37,30,111,97,46,32,31,27,61,76,38.64,39.53,,,,,,,,
Fourth,Gilles Simon,6-4 2-6 6-1 ret.,2009,m,Gilles Simon,Gael Monfils,FRA,FRA,64,57,3,1,4,3,71,59,36,41,196,212,174,171,134,138,50,44,49,42,89,78,29,21,36,31,66,59,25.56,24.19,,,,,,,,
Fourth,Fernando Verdasco,2-6 6-1 1-6 6-3 6-4,2009,m,Fernando Verdasco,Andy Murray,ESP,GBR,74,61,10,7,6,3,69,62,34,56,216,212,175,182,156,132,29,38,40,40,137,138,51,52,50,40,64,68,23.46,34.72,,,,,,,,
Fourth,Juan Martin Del Potro,5-7 6-4 6-4 6-2,2009,m,Juan Martin Del Potro,Marin Cilic,ARG,CRO,67,50,8,10,3,1,70,70,53,53,214,209,185,192,153,145,60,30,39,36,133,119,27,48,45,64,77,81,37.1,37.1,,,,,,,,
Fourth,Andy Roddick,7-5 6-1 6-3,2009,m,Andy Roddick,Tommy Robredo,USA,ESP,63,68,13,0,2,2,84,63,59,50,217,196,206,171,169,148,71,0,41,26,91,67,34,20,27,24,69,77,49.56,31.5,,,,,,,,
Fourth,Roger Federer,4-6 6-7(4) 6-4 6-4 6-2,2009,m,Roger Federer,Tomas Berdych,SUI,CZE,67,61,20,8,5,2,71,71,46,46,204,214,187,195,156,158,67,42,39,37,159,151,61,58,40,42,69,50,32.66,32.66,,,,,,,,
Fourth,Novak Djokovic,6-1 7-6(1) 6-7(5) 6-2,2009,m,Novak Djokovic,Marcos Baghdatis,SRB,CYP,63,54,3,12,3,2,74,64,56,46,206,208,187,187,159,150,29,20,44,33,147,118,36,37,49,53,76,67,41.44,29.44,,,,,,,,
Third,James Blake,6-3 6-2 3-6 6-1,2009,m,James Blake,Igor Andreev,USA,RUS,61,58,6,5,0,2,77,71,65,38,208,206,179,180,150,146,50,20,43,27,115,83,37,21,36,29,68,57,50.05,26.98,,,,,,,,
Third,Fernando Gonzalez,3-6 3-6 7-6(10) 6-2 12-10,2009,m,Fernando Gonzalez,Richard Gasquet,CHI,FRA,69,64,14,11,7,7,72,81,48,41,204,209,172,183,143,151,43,43,34,35,191,191,85,80,51,58,67,77,34.56,33.21,,,,,,,,
Third,Gael Monfils,6-4 6-3 7-5,2009,m,Gael Monfils,Nicolas Almagro,FRA,ESP,66,68,12,10,0,2,76,63,47,52,204,208,172,179,137,148,50,20,41,34,106,91,36,42,24,43,46,62,35.72,32.76,,,,,,,,
Third,Fernando Verdasco,6-4 6-0 6-0,2009,m,Fernando Verdasco,Radek Stepanek,ESP,CZE,81,56,1,2,2,5,71,44,46,30,203,188,169,179,154,151,45,20,62,33,99,55,34,23,15,39,79,44,32.66,13.2,,,,,,,,
Third,Jo-Wilfried Tsonga,6-4 6-2 1-6 6-1,2009,m,Jo-Wilfried Tsonga,Dudi Sela,FRA,ISR,62,55,5,0,2,2,70,63,55,48,220,172,190,166,150,142,38,27,44,36,110,93,36,19,36,25,72,60,38.5,30.24,,,,,,,,
Third,Andy Murray,7-5 6-0 6-3,2009,m,Andy Murray,Jurgen Melzer,GBR,AUT,60,70,8,2,0,1,78,58,52,25,216,201,182,179,137,142,50,25,52,33,96,65,32,29,10,30,58,58,40.56,14.5,,,,,,,,
Third,Rafael Nadal,6-4 6-2 6-2,2009,m,Rafael Nadal,Tommy Haas,ESP,GER,69,62,4,6,0,0,81,57,79,41,200,198,183,182,142,151,33,100,49,19,98,62,53,25,8,25,87,57,63.99,23.37,,,,,,,,
